channel_id,all_comment_count,eng_comment_count
UC6LyRXD915GDOFM_5unRfxg,55,31
UC6Mv5oj8daFztwg3jOkQjMA,27,0
UC6PT7R13JtDjTxZZ_dUafKQ,30,15
UC6QZ_ss3i_8qLV_RczPZBkw,124,24
UC6SrBgEY5mUqiadXsz070GQ,34,24
UC6ZCeXD14B7WAJO5nsjGryw,33,24
UC6_K7-Jthgq6hKUu55xC91Q,24,11
UC6d8KgYWSqVuCG7UXMEZt3Q,24,20
UC6n8I1UDTKP1IWjQMg6_TwA,23,17
UC6p0XC87axfwEtXeZEX3qWw,23,11
UC6rlSDvtzpYWgKrYnpjoH5Q,33,17
UC6rrBCCDvrDFcOJHifruL5A,59,39
UC6yzV_xgKn8r77FkcmZyMSg,6,4
UC74O4b7mg9vC6pbRIxTPibQ,3,1
UC762LVwv3LLuEtAvP_-tpfA,145,52
UC78mJyZPMa_OG08KLHjhODw,30,23
UC7BhHN8NyMMru2RUygnDXSg,82,55
UC7DdEm33SyaTDtWYGO2CwdA,30,17
UC7IcJI8PUf5Z3zKxnZvTBog,86,55
UC7JDBUzkcwRGtQGia3_mMgQ,30,15
UC7NXS92qRh43K0RGUTxRIew,28,5
UC7P2WwdpanJBvQmiYyQ-pRg,20,15
UC7WBxkuclmInB50j62iwegA,5,5
UC7_gcs09iThXybpVgjHZ_7g,29,17
UC7bYyWCCCLHDU0ZuNzGNTtg,34,28
UC7c8wbA9yQjzxkj2uyrHrkg,29,10
UC7ekA5squ12MDEy5upvpo7A,21,18
UC7fWeaHhqgM4Ry-RMpM2YYw,25,16
UC7kpCjVmzNj-UlIqwAQqBsw,22,8
UC7ovu6a8ydIbDy0fAKmoZ9A,63,2
UC7qPz_-prgjFyKGcnqJ9aKA,31,22
UC7qwmMOCk-q0KaROR7s7lGg,23,7
UC7r6YicDjoE_CzEM0h3Trww,31,7
UC7rSK4MI1HhnxrnBEozm53w,37,17
UC7rsYYvQbqQrJDGhqWmtAgQ,91,61
UC7szm7Z-YOF_HiFSY7KtYGw,27,13
UC7tWp_Yl6TwflcppyVDK_NA,14,7
UC7wjh3Dqg7JDy5vS82bR6QQ,29,23
UC80QkOQNihd9A8jjy0h5hhw,24,20
UC80Z-cIOdR6upfnrPJ8Q00A,26,17
UC83ou3zkohKwWEL5RluEy2A,30,5
UC84t1K5ri-7u9bFCaUKTXDA,24,13
UC85VW73bQLEjs_taFKP7TwQ,55,39
UC88KSXMWdkv50V1Wm8CAYWg,32,1
UC8B1sNPsg-VSCq6hkZdt9qw,52,39
UC8EP21iEkGNcKOSpOuJw4Dw,30,18
UC8Ld9PAhpOeBbNtLEoNlbUA,5,0
UC8LeXCWOalN8SxlrPcG-PaQ,11,0
UC8NJYzIiErJvwdN_ZG-JBXA,38,26
UC8R3qX--mc_Let6HZHGpnPQ,28,10
UC8T81Q-rEobLa-YuQKj8L1A,36,16
UC8ThsX-gyKKuuN9qo1PJ0-Q,35,26
UC8VhAX-voAUegprM4SpHQJQ,29,18
UC8X6rEFU-vJ1BE-d3NKJfLQ,26,10
UC8Y-jrV8oR3s2Ix4viDkZtA,2,0
UC8YgWcDKi1rLbQ1OtrOHeDw,33,21
UC8aFYW6sAdJT0sJg0GPhzGg,32,20
UC8bTQzxgvKkXDAaWkeuUlkg,34,22
UC8butISFwT-Wl7EV0hUK0BQ,602,425
UC8dRuwQLtfdfARmg77ZKq7w,32,0
UC8idW5eCOVi6Maau2efdKPQ,28,20
UC8jkbVLPvztz8TuE98OYo8Q,30,24
UC8lSbddTjlDrF0lHEeGM8rg,37,5
UC8lVvurdhqV2-cTizQjh4wQ,114,23
UC8mWYDxedkJmUReAiA3ze9w,39,22
UC8n-7kb2RGV7TidMWzHl7EQ,34,20
UC8p1vwvWtl6T73JiExfWs1g,25,20
UC8voJ9Sjb9tdf2jVByTKlFQ,49,42
UC8zQiuT0m1TELequJ5sp5zw,24,0
UC95bEkaIgwhxSjSsdMFXYGg,101,51
UC97qxGRmPsyfV0Miz7AxU2A,9,4
UC98tcedR6gULv8_b70WJKyw,30,16
UC99hZHMdxBDcjO-yYT1fDgg,20,13
UC9A9-hJ21nrQXNoCzCH7Gag,24,19
UC9Af1bn_bc6_Lwrr4SM6Qkg,29,18
